id,host_since,neighbourhood,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
3191,2008-10-21,Ward 57,Southern Suburbs,7700,-33.94739,18.476,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,819,261.0,3,730,54,97.0
15007,2009-12-01,Ward 23,Cape Town,7441,-33.80001,18.46063,House,Entire home/apt,6,3.0,3.0,4.0,Real Bed,2050,850.0,2,120,27,97.0
15068,2009-12-02,Ward 23,Cape Town,7441,-33.78799,18.46082,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,2804,650.0,4,730,0,94.57809342683942
15077,2009-12-02,Ward 4,Cape Town,7441,-33.85812,18.49043,Apartment,Private room,2,1.5,1.0,2.0,Real Bed,1620,,5,1125,5,100.0
15180,2009-12-03,Ward 83,Cape Town,7139,-34.11124,18.82349,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,575,200.0,2,730,0,94.57809342683942
15199,2009-12-03,Ward 115,Cape Town,8005,-33.91044,18.41239,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,124995,350.0,14,30,2,90.0
15285,2009-12-04,Ward 71,Southern Suburbs,7806,-34.03863,18.43128,Guesthouse,Entire home/apt,4,1.5,2.0,4.0,Real Bed,1202,0.0,2,365,8,100.0
15331,2009-12-04,Ward 60,Southern Suburbs,7780,-33.97069,18.49697,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,714,,2,180,3,100.0
15348,2009-12-04,Ward 70,Bellville,7530,-33.86903,18.62519,Other,Private room,2,,1.0,1.0,Real Bed,1694,,3,730,0,94.57809342683942
15354,2009-12-05,Ward 112,Durbanville,7550,-33.82924,18.63144,Guest suite,Entire home/apt,3,1.0,1.0,2.0,Real Bed,644,0.0,3,730,0,94.57809342683942
15480,2009-12-06,Ward 115,Cape Town,8001,-33.92876,18.42247,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,705,400.0,14,365,18,86.0
15704,2009-12-09,Ward 54,Cape Town,,-33.96462,18.37595,Villa,Entire home/apt,12,6.5,6.0,6.0,Real Bed,17902,0.0,4,730,1,100.0
16259,2009-12-15,Ward 59,Southern Suburbs,7708,-33.99463,18.46505,Guesthouse,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1256,395.0,2,365,6,100.0
17270,2010-01-01,Ward 115,Cape Town,8005,-33.91073,18.40866,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1304,600.0,7,730,132,94.0
